"Record","Station","Year","Lat","Lon","LonUTMAlbers","LatUTMAlbers","BottomDepth","BottomTemp","Actinaugeverrilli","Actiniaria","Albatrossiapectoralis","Allocentrotusfragilis","Anoplopomafimbria","Aphrocallistesvastus","Atheresthesstomias","Bathymastersignatus","Bathyplotessp.","Bathyrajaaleutica","Bathyrajainterrupta","Berryteuthismagister","Chionoecetesbairdi","Chlamysrubida","Chlamyssp.","Chrysaoramelanaster","Crossasterpapposus","Ctenodiscuscrispatus","Cyaneacapillata","Dasycottussetiger","Elassochirustenuimanus","Fusitritonoregonensis","Gadusmacrocephalus","Glyptocephaluszachirus","Gorgonocephaluseucnemis","Hemilepidotusjordani","Hemitripterusbolini","Henriciasp.","Hippoglossoideselassodon","Hippoglossusstenolepis","Hyaslyratus","Hydrolaguscolliei","Isopsettaisolepis","Lepidopsettabilineata","Lepidopsettapolyxystra","Lepidopsettasp.","Lethasteriasnanimensis","Lycodesbrevipes","Lycodespalearis","Lyopsettaexilis","Malacocottuszonurus","Mallotusvillosus","Metridiumfarcimen..Metridiumgiganteum.","Microstomuspacificus","Myoxocephaluspolyacanthocephalus","Ophiodonelongatus","Ophiurasarsi","Oregoniagracilis","Paguridae","Pagurusaleuticus","Pagurusbrandti","Pandalopsisdispar","Pandaluseous..borealis.","Pandalusjordani","Parophrysvetulus","Platichthysstellatus","Pleurogrammusmonopterygius","Porifera","Pycnopodiahelianthoides","Rajabinoculata","Rajarhina","Scyphozoa","Sebastesalutus","Sebastesbabcocki","Sebastesborealis","Sebastesbrevispinis","Sebastespolyspinis","Sebastesvariabilis","Sebastesvariegatus","Sebasteszacentrus","Sebastolobusalascanus","Squalusacanthias","Stegophiuraponderosa","Strongylocentrotusdroebachiensis","Thaleichthyspacificus","Thaliacea","Theragrachalcogramma","Zaprorasilenus"
1775,"347-165",1993,59.5455,-141.2995,489133.709157121,6107321.70414209,137,5.7,NA,NA,NA,NA,0.7385,NA,33.2903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2095,NA,NA,NA,NA,5.7321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2535,NA,NA,0.0109,NA,8.3225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,3.9683,NA,NA,0.8819,NA,7.2202,NA
1776,"307-165",1993,59.55517,-144.573,305510.131220277,6089551.01954629,154,5.7,NA,NA,NA,NA,NA,NA,65.9067,0.0274,NA,NA,NA,0.0457,NA,NA,NA,NA,0.009,NA,NA,NA,NA,0.009,0.2737,1.1403,NA,NA,NA,NA,NA,18.4539,NA,NA,NA,NA,NA,0.1368,NA,NA,NA,NA,NA,NA,NA,0.6385,NA,2.4629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0274,0.0457,NA,NA,3.0558,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA,0.8209,NA,NA,0.0183,NA
1777,"276-165",1993,59.5595,-147.20783,157283.327720298,6081200.38100666,207,5,NA,NA,NA,NA,20.7672,NA,28.6473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0328,NA,NA,NA,0.0246,NA,34.2289,0.0411,NA,0.985,NA,0.985,2.6759,NA,NA,NA,NA,NA,NA,NA,NA,0.0822,NA,NA,NA,NA,17.2375,NA,NA,NA,NA,NA,NA,NA,0.6567,0.2709,NA,NA,NA,NA,0.0822,NA,NA,NA,2.0521,0.3283,0.2052,1.3133,NA,NA,NA,0.0575,NA,3.8169,NA,NA,NA,0.0822,NA,0.4926,NA
1778,"232-155",1993,59.03217,-150.8485,-48532.7168310924,6019356.44948086,168,5.7,NA,NA,NA,0.6272,14.1641,NA,54.9364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0303,5.8679,3.0352,NA,0.091,NA,0.01,NA,8.974,0.01,NA,NA,NA,NA,NA,NA,NA,0.0404,NA,NA,NA,NA,4.6538,NA,NA,NA,NA,NA,NA,NA,NA,0.2529,NA,NA,NA,NA,0.4249,NA,NA,1.5176,NA,0.8094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.211,0.1316
1779,"205-155",1993,59.03517,-153.07217,-175654.240879227,6023303.27041808,143,5.9,NA,0.6557,NA,NA,0.9365,NA,66.9146,0.156,NA,NA,0.4162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5483,0.2602,NA,0.3122,NA,NA,2.8098,25.9438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2894,0.3329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.0339,NA
1780,"268-155",1993,59.04317,-147.88767,120768.130828389,6022136.28331974,157,5.3,NA,NA,NA,NA,NA,0.2092,130.2859,0.1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0104,NA,0.0314,NA,NA,0.1568,NA,NA,NA,NA,56.9262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0523,NA,5.7534,NA,0.4183,0.3139,NA,NA,NA,NA,NA,4.2888,NA,NA,NA,NA,0.3139,NA,NA,0.021,3.295
1781,"270-161",1993,59.32683,-147.749,127659.392802629,6054088.27043099,165,5.4,NA,NA,NA,NA,0.2842,NA,26.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4102,3.1734,NA,NA,NA,NA,0.0284,1.5914,NA,NA,NA,NA,NA,NA,NA,0.0094,NA,NA,NA,NA,NA,9.5203,NA,NA,NA,NA,NA,NA,NA,NA,0.0284,NA,NA,NA,NA,NA,NA,NA,NA,0.6631,1.2315,NA,NA,NA,0.0758,NA,0.0948,NA,NA,1.0893,NA,0.019,0.161,NA,1.3261,NA
1782,"257-166",1993,59.56533,-148.79967,67618.459046837,6079258.46618379,108,5.9,NA,NA,NA,NA,691.2546,NA,174.6021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4709,8.4325,NA,NA,NA,NA,2.5657,4.4712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3678,NA,NA,NA,NA,NA,NA,NA,NA,1.8303,NA,NA,NA,NA,NA,NA
1783,"220-166",1993,59.56817,-151.83117,-103140.387977735,6080356.18200336,42,8.3,NA,NA,NA,NA,NA,NA,21.4499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4193,NA,NA,NA,NA,0.0699,5.4778,NA,NA,113.7478,NA,NA,0.4193,NA,NA,NA,NA,NA,0.0139,NA,0.028,13.6944,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0176,6.1485,NA,NA,NA,NA,10.9695,0.8386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0699,NA
1784,"328-168",1993,59.6815,-142.8875,398645.838343697,6112213.24476354,238,5.4,NA,NA,NA,0.0472,6.9492,NA,10.4594,NA,NA,NA,NA,1.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5555,NA,NA,1.0636,NA,0.2955,0.8155,NA,NA,NA,NA,NA,NA,NA,NA,0.3072,0.0591,0.0117,NA,NA,2.3637,NA,0.5792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981,NA,31.6498,0.1183,NA,NA,NA,NA,NA,0.0829,5.791,NA,NA,NA,0.7092,NA,18.2595,NA
1785,"374-155",1993,59.0495,-139.11,620019.292571059,6070007.40102696,95,6.1,NA,NA,NA,NA,NA,NA,53.7037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0346,NA,NA,NA,0.0691,NA,NA,NA,NA,0.4494,NA,NA,NA,NA,NA,NA,NA,NA,0.0114,0.1153,NA,NA,NA,NA,0.3227,NA,1.5557,NA,NA,NA,NA,NA,NA,NA,0.0808,NA,NA,NA,NA,NA,6.9722,1.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.977,NA,NA,3.6418,NA,2.1781,NA
1786,"211-155",1993,59.05217,-152.59367,-148238.19778598,6024080.09233147,143,5.6,NA,0.0966,NA,NA,7.3857,NA,23.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0483,8.4476,0.2897,0.0289,0.3861,NA,NA,0.1447,8.2256,NA,NA,NA,NA,NA,0.0096,NA,NA,NA,NA,NA,NA,NA,0.4344,NA,NA,NA,0.0096,0.0096,NA,NA,NA,2.684,NA,NA,NA,NA,0.0483,NA,NA,NA,0.0966,0.6275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2414,0.0483,NA,3.4853,NA
1787,"217-155",1993,59.074,-152.09817,-119854.031159763,6025557.60541672,177,7.2,NA,NA,NA,0.4851,2.21,NA,16.4935,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0107,NA,NA,NA,NA,0.0539,318.872,NA,NA,NA,NA,NA,NA,6.2632,0.0107,NA,NA,NA,NA,0.0756,0.0216,NA,NA,NA,NA,NA,NA,1.617,NA,NA,NA,NA,0.0216,NA,NA,NA,NA,NA,NA,NA,NA,0.1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.5956,NA
1788,"354-166",1993,59.577,-140.768,518371.344775592,6114692.37329245,263,4.7,NA,NA,NA,NA,6.8216,NA,21.2925,NA,NA,NA,NA,0.7579,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1895,NA,12.8652,NA,NA,NA,NA,12.8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5376,NA,NA,0.2194,1.6556,NA,NA,NA,NA,NA,12.3168,0.2293,NA,NA,0.0598,NA,11.6187,NA
1789,"356-166",1993,59.57967,-140.60417,527473.413209057,6116229.2769388,241,4.9,NA,NA,NA,NA,10.7518,NA,18.7389,NA,NA,NA,NA,0.1639,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0307,NA,13.5678,NA,NA,NA,NA,5.7343,3.6556,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205,NA,NA,NA,1.8433,NA,1.2082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3379,0.1639,NA,NA,NA,NA,NA,NA,18.7389,1.1775,NA,NA,0.256,NA,11.8783,NA
1790,"260-155",1993,59.07767,-148.54967,82845.4249960245,6025016.64562032,216,5.3,NA,NA,NA,NA,12.0372,NA,12.1605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5882,NA,NA,NA,NA,NA,NA,1.1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6835,NA,NA,NA,NA,NA,NA,NA,0.0822,NA,NA,NA,NA,NA,NA,NA,NA,4.93,0.2465,40.4252,0.2465,NA,NA,NA,NA,0.0411,0.0411,1.8076,NA,NA,0.0411,0.1232,NA,7.8879,NA
1791,"254-156",1993,59.0785,-149.0105,56522.8897398028,6024644.21698881,144,5.9,NA,NA,NA,NA,1.7134,0.1606,87.2292,0.1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7134,6.9613,NA,NA,2.9988,NA,NA,21.6655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2141,NA,NA,NA,0.3749,2.1955,NA,NA,NA,NA,NA,0.0751,NA,0.0536,1.2315,NA,0.1606,NA,NA,1.4993,NA
1792,"236-155",1993,59.08317,-150.5065,-28929.5356844051,6024867.43749402,112,6,NA,NA,NA,0.3279,NA,NA,4.9191,0.0821,0.0081,NA,NA,NA,NA,NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0202,NA,NA,NA,NA,NA,1.5166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0081,NA,0.0164,NA,NA,NA,NA,NA,NA,NA,NA,0.3279,NA,NA,2.2136,0.0821,0.6149,NA,NA,NA,0.287,NA,0.2295,NA,NA,NA,NA,NA,NA,NA,0.0327,NA
1793,"346-166",1993,59.5805,-141.40717,482626.287190646,6110445.7664218,112,6.1,NA,NA,NA,NA,0.162,NA,26.5871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0217,NA,NA,NA,0.1082,0.0324,NA,NA,NA,3.8907,2.0751,NA,NA,NA,NA,NA,NA,NA,NA,0.173,NA,NA,NA,NA,1.2969,NA,4.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4859,NA,NA,0.843,NA,0.4863,NA
1794,"218-166",1993,59.58133,-151.96217,-110475.20904757,6082029.46636672,42,9.1,NA,NA,NA,0.1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.551,NA,NA,0.1843,NA,NA,NA,77.6277,NA,NA,0.5421,NA,NA,49.1678,NA,NA,NA,NA,NA,0.0108,NA,NA,NA,NA,NA,NA,0.0218,NA,NA,NA,NA,NA,NA,137.4747,NA,NA,NA,2.7105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0218,NA
1795,"322-168",1993,59.68967,-143.41683,368984.298673527,6110178.64518797,311,4.9,NA,0.0095,NA,NA,8.5591,NA,2.6299,NA,NA,NA,NA,8.8458,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0479,NA,0.086,NA,NA,NA,NA,0.2199,5.3361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3538,NA,NA,NA,NA,NA,NA,NA,0.2486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1817,NA,6.0247,NA,NA,NA,NA,NA,4.8771,NA,NA,NA,0.0957,NA,3.6817,NA
1796,"242-156",1993,59.08733,-149.99283,409.481060362554,6025226.5082019,187,5.7,NA,0.0659,NA,NA,19.8673,4.1331,59.6958,NA,NA,NA,NA,NA,0.0093,NA,NA,NA,NA,NA,NA,0.0093,NA,0.047,3.4286,0.2819,0.094,NA,NA,NA,NA,8.8768,0.0188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0059,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA,0.2819,NA,NA,1.6909,0.0282,1.0334,NA,NA,NA,NA,NA,0.0659,0.047,NA,5.2603,NA,0.1878,1.1742,NA,3.5226,0.7985
1797,"354-156",1993,59.09817,-140.77917,524878.357847928,6061549.08159877,166,5.8,NA,NA,NA,NA,NA,NA,6.8768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,NA,0.2929,NA,0.4387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0877,NA,NA,NA,0.7316,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2052,NA,NA,NA,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351,NA,NA,NA,NA,1.9316,NA,0.3806,NA
1798,"242-152",1993,58.90467,-150.00883,-506.897293598981,6004799.62359496,230,5.3,NA,NA,NA,NA,636.4203,0.4467,28.2317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5563,1.1615,0.0894,NA,NA,NA,0.2681,0.9738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4294,NA,NA,NA,NA,NA,NA,NA,0.1786,NA,NA,NA,NA,NA,NA,NA,0.3573,NA,0.0447,NA,NA,NA,NA,NA,NA,NA,NA,1.2507,NA,NA,NA,0.0894,NA,2.6356,NA
1799,"252-169",1993,59.72483,-149.15617,47318.9207526673,6096789.01312621,194,5.8,NA,NA,NA,NA,4.3209,0.1136,25.7737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0379,23.1207,2.1983,NA,NA,2.3499,NA,0.1136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5685,NA,NA,3.6008,NA,NA,NA,NA,NA,NA,NA,0.1516,2.2742,NA,NA,NA,NA,0.0379,NA,NA,NA,1.9709,2.7289,NA,NA,0.417,0.1895,NA,0.0379,0.1136,NA,1.5541,NA,0.1136,0.0227,NA,1.4403,0.2275
1800,"300-169",1993,59.73433,-145.19983,268892.101762455,6106915.05671162,155,5.9,NA,NA,NA,NA,4.2442,NA,66.0883,NA,NA,NA,NA,0.0174,NA,NA,NA,NA,NA,0.2425,NA,0.0174,NA,NA,0.693,21.1345,0.1732,NA,NA,NA,7.2758,9.0861,NA,NA,NA,NA,NA,NA,NA,0.0174,0.0867,NA,NA,NA,NA,54.7415,NA,NA,NA,NA,0.026,NA,NA,0.0867,2.1654,NA,NA,NA,NA,NA,NA,NA,2.0788,3.5512,NA,NA,NA,NA,NA,NA,NA,NA,0.8662,2.5985,NA,NA,4.9372,NA,5.1104,NA
1801,"304-169",1993,59.73617,-144.92183,284422.432696634,6108234.4340579,121,6.3,NA,0.0505,NA,NA,8.6239,NA,166.4779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,2.7738,71.8665,NA,NA,NA,NA,14.676,15.1298,NA,NA,NA,NA,NA,NA,NA,NA,0.0707,NA,NA,NA,NA,140.3539,NA,5.245,NA,NA,NA,NA,NA,NA,NA,NA,0.1512,NA,NA,NA,NA,NA,1.9669,0.3026,NA,NA,NA,0.5548,NA,NA,NA,NA,0.1512,1.3616,NA,NA,0.2522,NA,0.0505,NA
1802,"320-169",1993,59.74533,-143.56383,360189.900031305,6115595.99642679,309,4.9,NA,NA,NA,0.1688,7.7531,NA,3.9557,NA,NA,NA,NA,3.0062,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2321,NA,15.2953,NA,NA,NA,NA,24.1349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7236,NA,NA,NA,NA,NA,NA,NA,0.3481,NA,NA,NA,NA,NA,NA,NA,NA,1.3714,NA,0.1581,NA,4.1139,NA,NA,NA,NA,NA,22.3205,NA,NA,NA,0.2005,NA,5.9599,NA
1803,"256-169",1993,59.74633,-148.8285,65651.1622026729,6099460.04676193,187,5.5,NA,NA,NA,NA,3.6277,NA,21.6751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8161,NA,NA,NA,NA,6.5298,0.4081,NA,NA,NA,NA,NA,NA,NA,0.0182,NA,NA,NA,NA,NA,3.1742,NA,0.5442,NA,NA,NA,NA,NA,0.0816,0.5442,NA,NA,NA,NA,NA,NA,NA,NA,4.3531,0.7256,NA,NA,NA,NA,NA,NA,NA,0.0908,3.3556,NA,NA,0.136,NA,1.451,NA
1804,"326-169",1993,59.74733,-143.08667,386784.786799083,6118400.35836038,179,6.1,NA,NA,NA,0.0718,1.3143,NA,4.9333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1162,0.4323,NA,NA,NA,NA,0.0179,5.8697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2342,0.2699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1802,NA,NA,NA,0.5581,NA,NA,NA
1805,"322-169",1993,59.755,-143.39367,369580.624562709,6117571.52724061,315,4.9,NA,NA,NA,NA,12.911,NA,7.6922,NA,NA,NA,NA,4.0748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2724,NA,NA,1.1986,NA,0.2289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0896,NA,NA,NA,0.0108,NA,NA,NA,0.4249,NA,NA,NA,NA,NA,NA,NA,NA,0.839,NA,NA,0.1091,1.0677,NA,NA,NA,NA,NA,11.876,NA,NA,NA,0.5993,NA,2.1791,NA
1806,"254-169",1993,59.75733,-149.0335,54146.5247738492,6100511.50427376,198,5.6,NA,NA,NA,NA,12.1704,NA,52.7383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4333,NA,0.0314,NA,NA,NA,2.7177,NA,NA,NA,NA,15.6364,0.2364,NA,NA,NA,NA,NA,NA,NA,0.0078,0.0158,NA,NA,NA,NA,4.6082,NA,NA,NA,NA,0.0394,NA,NA,0.2758,0.8035,NA,NA,NA,NA,NA,NA,NA,0.3544,0.4727,0.1969,NA,NA,NA,NA,NA,NA,NA,0.1103,8.1136,NA,NA,0.4333,NA,1.0241,NA
1807,"336-169",1993,59.76317,-142.26917,432142.909810159,6125010.4355721,150,6.2,NA,NA,NA,NA,NA,NA,22.8683,NA,NA,NA,0.0216,NA,0.0323,NA,NA,NA,NA,0.0216,NA,0.0107,NA,NA,NA,0.1184,NA,NA,NA,NA,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3874,NA,NA,NA,NA,0.1722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1507,2.9056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1839,1.2375,NA,NA,0.409,NA,0.6458,NA
1808,"290-170",1993,59.77933,-146.03417,221922.744313731,6108968.37660029,93,7.5,NA,NA,NA,NA,NA,NA,5.2158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5444,1.5266,0.1273,NA,NA,NA,11.7676,20.5075,NA,NA,NA,NA,NA,0.5088,NA,NA,NA,NA,NA,0.1907,NA,NA,NA,7.2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0255,NA,NA,NA,2.0354,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2722,NA,NA,NA,NA,0.5088,NA
1809,"285-170",1993,59.783,-146.446,198877.706659821,6108122.6400407,75,7,NA,NA,NA,NA,NA,NA,13.9397,0.2239,0.0225,NA,NA,NA,NA,NA,NA,NA,0.0225,NA,NA,NA,NA,0.0336,NA,NA,0.336,NA,NA,NA,NA,7.1434,NA,NA,NA,NA,NA,3.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.695,NA,4.0867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1757,NA,NA,0.056,NA
1810,"210-170",1993,59.7915,-152.694,-150744.379558495,6106893.69501294,29,11.1,NA,0.0627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0627,0.0376,NA,NA,0.5636,NA,NA,NA,3.5947,0.0124,NA,NA,NA,NA,0.0251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124,NA,NA,NA,0.0376,NA,NA,0.4385,NA,0.0124,NA,NA,NA,0.1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0666,NA,0.2505,0.4385,NA,20.6039,NA
1811,"282-175",1993,60.0315,-146.68717,184060.479971493,6135191.11041435,119,6.7,NA,NA,NA,NA,1.8356,NA,29.6476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0139,NA,0.0069,NA,NA,NA,1.0391,NA,NA,NA,NA,1.6624,0.6373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0391,NA,0.6927,NA,NA,0.0069,NA,NA,NA,0.2425,NA,NA,NA,NA,NA,0.0693,NA,1.6624,1.8703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1082,NA,NA,0.1038,NA,2.7708,NA
1812,"277-176",1993,60.05917,-147.15633,157882.622885062,6137117.91465892,216,5.8,NA,NA,NA,NA,5.5124,NA,32.4205,NA,NA,NA,NA,1.0278,NA,NA,NA,NA,NA,0.0093,NA,0.0187,NA,NA,2.9898,8.5022,NA,NA,NA,NA,2.8497,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0468,NA,NA,NA,NA,11.8656,NA,NA,NA,NA,0.0093,NA,NA,2.149,0.1401,NA,NA,NA,NA,NA,NA,NA,2.5226,4.1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5607,NA,14.4818,NA
1813,"276-170",1993,59.8145,-147.19717,156726.390085647,6109704.70697319,190,5.3,NA,NA,NA,NA,13.0533,NA,41.574,NA,NA,NA,NA,1.2686,NA,NA,NA,NA,NA,0.0164,NA,NA,NA,NA,13.4625,19.3549,NA,NA,NA,NA,2.4552,7.4309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3779,NA,NA,NA,NA,NA,NA,NA,0.2865,0.0164,NA,NA,NA,NA,NA,NA,5.3196,8.1838,2.2506,NA,NA,NA,NA,NA,NA,NA,NA,0.1636,0.982,NA,NA,0.3682,NA,12.4395,NA
1814,"293-177",1993,60.08817,-145.81117,232293.393547173,6144156.31398703,93,6.4,NA,NA,NA,NA,0.6942,NA,72.607,NA,NA,NA,NA,NA,0.0092,NA,NA,NA,NA,0.2777,NA,0.0369,NA,NA,NA,0.2777,0.0186,NA,NA,NA,7.3116,1.4624,NA,NA,NA,NA,NA,NA,NA,0.0092,0.0186,NA,NA,NA,NA,2.3138,NA,NA,NA,NA,NA,NA,NA,NA,1.666,NA,NA,NA,NA,NA,NA,NA,3.0543,2.5915,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4967,NA,NA,3.7483,NA,0.3701,NA
1815,"295-177",1993,60.08867,-145.6385,241852.861548021,6144805.12497803,119,6.5,NA,NA,NA,NA,0.9802,NA,44.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4901,NA,0.0981,NA,NA,NA,1.6662,0.0197,NA,NA,NA,5.2927,5.675,NA,NA,NA,NA,NA,NA,NA,0.0391,0.0491,NA,NA,NA,NA,6.0769,NA,NA,NA,NA,NA,NA,NA,0.0294,1.6172,NA,0.196,NA,NA,NA,NA,NA,2.2544,1.3721,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1563,NA,0.0294,5.8809,NA,1.7643,NA
1816,"297-176",1993,60.0945,-145.5085,249009.201922575,6145917.45841822,130,6.3,NA,NA,NA,NA,1.9156,NA,186.3273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0202,NA,0.0505,NA,NA,2.2182,22.5347,NA,NA,NA,NA,15.6786,1.3915,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,12.5528,NA,NA,NA,NA,0.01,NA,NA,NA,0.2521,NA,0.353,NA,NA,NA,NA,0.7058,NA,2.4702,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2182,NA,NA,1.2099,NA,3.1255,NA
